pr_id,repo_name,pr_number,pr_title,author_id,state,is_merged,is_draft,created_at,updated_at,closed_at,merged_at,merged_by_id,additions,deletions,pr_size,changed_files,commits_count,comments_count,review_comments_count,total_comments,cycle_time_hours,days_since_created,days_since_updated,first_review_at,last_review_at,time_to_first_review_hours,review_turnaround_time_hours,approvals_count,changes_requested_count,commented_count,has_approval
Am.EventKit#269,Am.EventKit,269,fix: support cb.students.amrita.edu domain in RBAC email regex,145009677,closed,True,False,2026-02-18T05:31:46+00:00,2026-03-22T15:02:31+00:00,2026-02-18T05:34:39+00:00,2026-02-18T05:34:39+00:00,153985965,4,4,8,1,1,0,0,0,0.04805555555555555,48,16,2026-02-18 05:34:34+00:00,2026-02-18 05:34:34+00:00,0.04666666666666667,,1,0,0,True
Am.EventKit#268,Am.EventKit,268,update hospitality_id regex pattern to match P001 format,145009677,closed,True,False,2026-02-16T12:26:40+00:00,2026-02-16T13:08:19+00:00,2026-02-16T13:08:19+00:00,2026-02-16T13:08:18+00:00,72215925,5,2,7,1,1,0,0,0,0.6938888888888889,50,50,2026-02-16 13:08:13+00:00,2026-02-16 13:08:13+00:00,0.6925,,1,0,0,True
Am.EventKit#267,Am.EventKit,267,add fetch all students route,72215925,closed,True,False,2026-02-09T21:21:29+00:00,2026-03-22T15:02:24+00:00,2026-02-09T21:22:19+00:00,2026-02-09T21:22:19+00:00,145009677,91,0,91,4,1,0,0,0,0.013888888888888888,56,16,2026-02-09 21:22:02+00:00,2026-02-09 21:22:02+00:00,0.009166666666666667,,1,0,0,True
Am.EventKit#266,Am.EventKit,266,fix:remove gst code,153985965,closed,True,False,2026-02-05T15:11:43+00:00,2026-03-22T15:02:34+00:00,2026-02-05T15:27:03+00:00,2026-02-05T15:27:03+00:00,143313500,2,3,5,1,1,0,0,0,0.25555555555555554,61,16,2026-02-05 15:26:51+00:00,2026-02-05 15:26:51+00:00,0.25222222222222224,,1,0,0,True
Am.EventKit#265,Am.EventKit,265,fix: Anokha to Pragati change,72215925,closed,True,False,2026-02-03T15:47:14+00:00,2026-03-22T15:02:26+00:00,2026-02-03T18:29:45+00:00,2026-02-03T18:29:45+00:00,145009677,436,377,813,7,6,0,0,0,2.7086111111111113,63,16,2026-02-03 18:29:35+00:00,2026-02-03 18:29:35+00:00,2.7058333333333335,,1,0,0,True
Am.EventKit#262,Am.EventKit,262,feat: New beginnings - Pragati 26,72215925,closed,True,False,2026-01-20T07:51:57+00:00,2026-01-23T18:37:13+00:00,2026-01-20T08:03:32+00:00,2026-01-20T08:03:32+00:00,145009677,271,188,459,65,2,0,0,0,0.19305555555555556,77,74,2026-01-20 08:03:27+00:00,2026-01-20 08:03:27+00:00,0.19166666666666668,,1,0,0,True
Am.EventKit#261,Am.EventKit,261,docs: Add bruno endpoints for gate management (non-code changes),72215925,closed,True,False,2026-01-08T02:40:37+00:00,2026-01-20T07:45:33+00:00,2026-01-12T11:33:08+00:00,2026-01-12T11:33:08+00:00,145009023,5,5,10,5,2,1,0,1,104.87527777777778,89,77,2026-01-12 11:32:56+00:00,2026-01-12 11:32:56+00:00,104.87194444444444,,1,0,0,True
Am.EventKit#260,Am.EventKit,260,Feat/delete accom,145009023,closed,True,False,2026-01-07T06:44:45+00:00,2026-01-20T07:45:39+00:00,2026-01-07T10:03:56+00:00,2026-01-07T10:03:56+00:00,153985965,79,0,79,5,2,0,0,0,3.319722222222222,90,77,2026-01-07 10:03:18+00:00,2026-01-07 10:03:18+00:00,3.3091666666666666,,1,0,0,True
Am.EventKit#259,Am.EventKit,259,Feat/accom analytics,145009023,closed,True,False,2026-01-06T22:11:37+00:00,2026-01-20T07:45:40+00:00,2026-01-06T22:16:28+00:00,2026-01-06T22:16:27+00:00,145009677,224,0,224,7,4,0,0,0,0.08055555555555556,90,77,2026-01-06 22:16:09+00:00,2026-01-06 22:16:09+00:00,0.07555555555555556,,1,0,0,True
Am.EventKit#258,Am.EventKit,258,feat: Rollout new status controllers,72215925,closed,True,False,2026-01-06T21:39:29+00:00,2026-01-06T23:31:48+00:00,2026-01-06T23:31:47+00:00,2026-01-06T23:31:47+00:00,145009677,362,2,364,10,12,0,0,0,1.8716666666666666,90,90,2026-01-06 23:31:39+00:00,2026-01-06 23:31:39+00:00,1.8694444444444445,,1,0,0,True
